,titles,channel,total_views,video_link
0,Jim Cramer recaps the post-earnings tech downturn,CNBC,5.8K,https://www.youtube.com/watch?v=KYjrD4HHnJM&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=1&pp=iAQB
1,"Lightning Round: It's time to buy KeyCorp, says Jim Cramer",CNBC,5.7K,https://www.youtube.com/watch?v=otg30Hxnp90&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=2&pp=iAQB
2,"We are having one of those periodic swoons of Tesla and Netflix, says Jim Cramer",CNBC,12K,https://www.youtube.com/watch?v=dGVGfWEx75A&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=3&pp=iAQB
3,"The broadaning of the bull market is good news, says Jim Cramer",CNBC,29K,https://www.youtube.com/watch?v=pZPJy9PW1sA&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=4&pp=iAQB
4,"Lightning Round: I like Stellantis even though people think it's too cheap, says Jim Cramer",CNBC,5.2K,https://www.youtube.com/watch?v=Wmnx46IxMK4&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=5&pp=iAQB
5,"People who buy our product aren't just consumers, they are fans, says Mattel CEO Ynon Kreiz",CNBC,1.2K,https://www.youtube.com/watch?v=QkNCehK8RN8&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=6&pp=iAQB
6,Carvana CEO Ernie Garcia: This comeback happened because customers love our model,CNBC,1.5K,https://www.youtube.com/watch?v=cUNL6tZ14m0&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=7&pp=iAQB
7,"The first bull market slayer is inflation, says Jim Cramer",CNBC,1.4K,https://www.youtube.com/watch?v=zXvMRbmlC7Q&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=8&pp=iAQB
8,"If short rates get high enough money will flow out of the market like water, says Jim Cramer",CNBC,54K,https://www.youtube.com/watch?v=4DJ9CxsYKwI&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=9&pp=iAQB
9,Carvana CEO Ernie Garcia: I think we have 'more comeback in us',CNBC,5.8K,https://www.youtube.com/watch?v=SrtvRLquSvA&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=10&pp=iAQB
10,"The real doubt around an impending recession has been sowed by the banks, says Jim Cramer",CNBC,3.5K,https://www.youtube.com/watch?v=sQy-ehCd6Ys&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=11&pp=iAQB
11,"I find it hard to believe this is as good as it gets for PepsiCo, says Jim Cramer",CNBC,1.4K,https://www.youtube.com/watch?v=WvreHGYbiSw&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=12&pp=iAQB
12,"Lightning Round: Don't touch AST SpaceMobile, says Jim Cramer",CNBC,3.1K,https://www.youtube.com/watch?v=1eaRFTha16Q&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=13&pp=iAQB
13,"The orthodoxy is failing when it comes to recession calls, says Jim Cramer",CNBC,29K,https://www.youtube.com/watch?v=Fb-XSpFnNwU&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=14&pp=iAQB
14,"Cathie Wood's investing strategy wasn't a strategy at all just a tactic, says Jim Cramer",CNBC,5.2K,https://www.youtube.com/watch?v=SjBR9FwiewE&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=15&pp=iAQB
15,"'I don't know how you can cut prices like Ford just did and make it up in volume', says Jim Cramer",CNBC,1.7K,https://www.youtube.com/watch?v=OfWNfrPd4q8&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=16&pp=iAQB
16,"Electric vehicles could be losing their excitment factor, says Jim Cramer",CNBC,8.4K,https://www.youtube.com/watch?v=DCWHqpD882c&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=17&pp=iAQB
17,"Lightning Round: I perfer natural gas to nuclear power, says Jim Cramer",CNBC,5K,https://www.youtube.com/watch?v=wjgWHf6MplE&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=18&pp=iAQB
18,Jim Cramer gives a lesson in diversification with ARK and BlackRock,CNBC,27K,https://www.youtube.com/watch?v=ZXGOyYf0IuM&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=19&pp=iAQB
19,"Microsoft off to a good start, has a long way to go with secure service edge: Palo Alto Network CEO",CNBC,5.3K,https://www.youtube.com/watch?v=Ha0-mTY1hfE&list=PLVbP054jv0KpV2leJ9HHIMqZEkCPX-iPV&index=20&pp=iAQB
